	RCC4-EV	RCC4-VHL
GPR157	18.7334333513585	14.6372897036699
GPR158	0	0
GPR158-AS1	0	0
GPR160	599.942839049315	658.040658317189
GPR161	274.298099667868	135.841212762596
GPR162	2.01617814757757	0
GPR17	0	0
GPR171	0	0
GPR173	0	6.04255409049259
GPR174	0	0
GPR176	404.753404349771	306.948883594629
GPR176-DT	0	0
GPR179	0	0.156981385363614
GPR18	0	0
GPR180	105.535119646872	147.165694007652
GPR182	0	0
GPR183	0	0.810768738149674
GPR19	28.0011356582481	26.5472922674739
GPR20	0	0
GPR21	0	1.22974151656824
GPR22	0	0
GPR25	0	0
GPR26	0	0
GPR27	24.1068997589926	28.7941633866713
GPR3	6.80380953987315	5.61717779799339
GPR31	0	0
GPR32	0	0
GPR32P1	0	0
GPR33	0	0
GPR34	2.07903057847003	0
GPR35	3.04316168865005	0
GPR37	0	0.23914075798745
GPR37L1	0.573225791144055	2.19716765276197
GPR39	151.442399587672	133.428288613087
GPR4	0	0
GPR42	0	0
GPR45	84.5432018581163	45.8119403917388
GPR50	0	0
GPR50-AS1	0	0
GPR52	0	0
GPR53P	0	0
GPR55	0	0
GPR6	0	0
GPR61	0	0
GPR62	0	0
GPR63	4.19218934899939	14.8072115237381
GPR65	1.40037927689526	0
GPR68	5.42665370354493	0.912691337266416
GPR75	12.0152154577454	5.10483949730989
GPR78	0	0.294008963458113
GPR79	0	0
GPR82	0.691473584856996	1.22787382496138
GPR83	0.699802258288046	0.706120833933138
GPR84	0	0
GPR85	3.19914030990645	0
GPR87	0	0
GPR88	0	0
GPR89A	293.780571295798	533.776293863506
GPR89B	214.478836055937	124.788785575578
GPR89P	0	0
GPRACR	0.593698832578057	0.904801293131351
GPRASP1	7.60630627846685	9.87280841459219
GPRASP2	18.148469941379	27.1529198581119
GPRC5A	257.1932125074	395.983152790975
GPRC5B	174.240806643622	512.798762896905
GPRC5C	293.714503609581	282.249500649436
GPRC5D	0	4.44685936744722
GPRC5D-AS1	103.65316872459	99.6091771904928
GPRC6A	0	0
GPRIN1	256.905505262877	381.488722437151
GPRIN2	0	0
GPRIN3	0	3.82291696421554
GPS1	1031.38020903872	942.827170259524
GPS2	1893.35024202382	1358.76643634701
GPS2P1	0	0
GPS2P2	0	0
GPSM1	145.741151458006	135.734868689471
GPSM2	469.086479688196	596.813553725604
GPSM3	79.7173360440699	66.8752898818673
GPT	6.02318041128795	6.07518151937962
GPT2	206.834934532983	222.415007905768
GPX1	3506.33235033819	2153.67307931855
